Year,C_bt,FishAgree,MarFisPol,SumMor,Agenda21,EEZ,OutCon,FueSub,LawEnf
1,24990.74977,0,0,0,0,0,0,0,0
2,22927.04172,0,0,0,0,0,0,0,0
3,6344.60343,0,0,0,0,0,0,0,0
4,29232.4079,0,0,0,0,0,0,0,0
5,21299.0151,0,0,0,0,0,0,0,0
6,41071.435,0,0,0,0,0,0,0,0
7,5307.6498,0,0,0,0,0,0,0,0
8,31472.2182,0,0,0,0,0,0,0,0
9,31415.093,0,0,0,0,0,0,0,0
10,20326.2804,0,0,0,0,0,0,0,0
11,30197.7715,0,0,0,0,0,0,0,0
12,38021.1735,0,0,0,0,0,0,0,0
13,28533.7704,0,0,0,0,0,0,0,0
14,27989.9949,0,0,0,0,0,0,0,0
15,38812.8622,0,0,0,0,0,0,0,0
16,26638.1715,0,0,0,0,0,0,0,0
17,22751.1141,0,0,0,0,0,0,0,0
18,44731.1892,0,0,0,0,0,0,0,0
19,18392.2095,0,0,0,0,0,0,0,0
20,7331.8017,0,0,0,0,0,0,0,0
21,54888.3653,0,0,0,0,0,0,0,0
22,168418.5502,0,0,0,0,0,0,0,0
23,82911.011,0,0,0,0,0,0,0,0
24,132981.2998,0,0,0,0,0,0,0,0
25,14028.097,0,0,0,0,0,0,0,0
26,133981.213,0,0,0,0,0,0,0,0
27,84472.178,0,0,0,0,0,0,0,0
28,-102946.112,0,0,0,0,0,0,0,0
29,-261247.3709,0,0,0,0,0,0,0,0
30,114950.4182,0,0,0,0,0,0,0,0
31,18913.2277,0,0,0,0,0,0,0,0
32,181334.228,0,0,0,0,0,0,0,0
33,50582.258,0,0,0,0,0,0,0,0
34,136774.606,0,0,0,0,0,0,0,0
35,65167.934,0,3,0,0,0,0,0,0
36,395634.236,0,3,0,0,0,0,0,0
37,344246.353,0,3,0,0,0,0,0,0
38,215829.578,0,3,0,0,0,0,0,0
39,574276.583,0,3,0,0,0,0,0,0
40,417486.757,0,3,0,0,0,0,0,0
41,526388.567,0,3,0,0,0,0,0,0
42,465590.798,0,3,0,0,0,0,0,0
43,688080.867,0,3,0,0,0,0,0,0
44,611539.048,0,3,0,1,0,0,0,0
45,1201889.109,0,3,1,1,0,0,0,0
46,810045.918,0,3,1,2,1,0,0,0
47,-392153.201,0,3,1,2,1,0,0,0
48,603032.225,0,3,2,2,2,0,0,0
49,-228045.768,0,3,3,2,2,1,0,0
50,-442835.792,2,3,4,2,2,2,0,0
51,-17312.168,3,3,5,2,2,1,0,0
52,-139095.602,3,3,5,2,2,1,0,0
53,-186129.424,3,3,6,2,2,1,0,0
54,13444.122,4,3,6,2,2,1,0,0
55,122013.181,4,3,6,2,2,1,0,0
56,62309.245,4,4,7,2,2,1,0,0
57,-206716.833,4,4,7,2,2,1,0,2
58,32597.792,4,4,7,2,2,1,0,2
59,-47924.806,4,4,8,2,2,1,0,3
60,150400.602,4,4,8,2,2,1,2,4
61,102773.909,4,4,8,2,2,1,2,5
62,-257401.448,4,4,8,2,2,1,2,5
63,297022.935,4,5,8,2,2,1,2,5
64,2827677.217,4,5,8,2,2,1,2,6
