Year,H_dt,EcoRef,FueSub,MarFisPol,VesScrap,FinCris,FishAgree,FisPerReg
1,NA,0,0,0,0,0,0,0
2,NA,0,0,0,0,0,0,0
3,NA,0,0,0,0,0,0,0
4,NA,0,0,0,0,0,0,0
5,NA,0,0,0,0,0,0,0
6,NA,0,0,0,0,0,0,0
7,NA,0,0,0,0,0,0,0
8,NA,0,0,0,0,0,0,0
9,NA,0,0,0,0,0,0,0
10,NA,0,0,0,0,0,0,0
11,NA,0,0,0,0,0,0,0
12,NA,0,0,0,0,0,0,0
13,NA,0,0,0,0,0,0,0
14,NA,0,0,0,0,0,0,0
15,NA,0,0,0,0,0,0,0
16,NA,0,0,0,0,0,0,0
17,NA,0,0,0,0,0,0,0
18,NA,0,0,0,0,0,0,0
19,NA,0,0,0,0,0,0,0
20,NA,0,0,0,0,0,0,0
21,NA,0,0,0,0,0,0,0
22,NA,0,0,0,0,0,0,0
23,NA,0,0,0,0,0,0,0
24,NA,0,0,0,0,0,0,0
25,NA,0,0,0,0,0,1,0
26,NA,0,0,0,0,0,1,0
27,NA,0,0,0,0,0,1,0
28,NA,0,0,0,0,0,1,0
29,NA,0,0,0,0,0,1,0
30,NA,0,0,0,0,0,1,0
31,NA,0,0,1,0,0,1,0
32,NA,0,0,1,0,0,1,0
33,NA,0,0,2,0,0,1,0
34,NA,0,0,2,0,0,1,0
35,NA,0,0,3,0,0,1,0
36,10593.5889,0,0,3,0,0,1,0
37,10468.5326,0,0,3,0,0,1,0
38,2310.8785,0,0,3,0,0,1,0
39,7658.63963,0,0,3,0,0,1,0
40,23332.43218,0,0,3,0,0,1,0
41,22786.11494,0,0,3,0,0,1,0
42,139465.1633,2,0,3,0,0,1,0
43,52383.8839,2,0,3,0,0,1,0
44,113568.1839,2,0,3,0,0,1,0
45,129807.9317,2,0,3,0,0,1,0
46,60697.0256,2,0,3,0,0,1,0
47,207791.6148,2,0,3,0,0,1,0
48,-233371.4599,2,0,3,0,1,1,0
49,-154641.2718,2,0,3,0,1,1,0
50,325602.9946,2,0,3,0,0,2,0
51,-78218.3497,2,0,3,0,0,3,0
52,-5728.7725,2,0,3,1,0,3,0
53,-98507.4309,2,0,3,2,0,3,0
54,279.3262,2,0,3,2,0,4,1
55,16238.3433,2,0,3,2,0,4,1
56,-40186.0526,2,1,4,2,0,4,1
57,-1618.6267,2,1,4,2,0,4,1
58,62793.8093,2,1,4,2,0,4,1
59,27937.8015,2,1,4,2,0,4,1
60,-66611.4519,2,2,4,2,0,4,1
61,30330.3244,2,2,4,2,0,4,1
62,-3982.0678,2,2,4,2,0,4,1
63,165392.037,2,2,5,2,0,4,2
64,144999.3915,2,2,5,2,0,4,2
65,178624.9931,2,3,5,3,0,4,2
66,5892.682,2,3,5,3,0,4,2
67,116365.64,2,3,5,3,0,4,2
68,-15997.28,2,3,5,3,0,4,2
