Year,H_tr,Agenda21,DouCon,EcoRef,FisPerReg,FueSub,MarFisPol,VesScrap
1,1841.67585,0,0,0,0,0,0,0
2,2213.92885,0,0,0,0,0,0,0
3,-285.35515,0,0,0,0,0,0,0
4,1642.24797,0,0,0,0,0,0,0
5,4227.91497,0,0,0,0,0,0,0
6,5000.02388,0,0,0,0,0,0,0
7,5251.40816,0,0,0,0,0,0,0
8,8459.22703,0,0,0,0,0,0,0
9,5798.82414,0,0,0,0,0,0,0
10,10957.54042,0,0,0,0,0,0,0
11,8338.38788,0,0,0,0,0,0,0
12,17824.01988,0,0,0,0,0,0,0
13,6305.96039,0,0,0,0,0,0,0
14,4770.24555,0,0,0,0,0,0,0
15,-2118.57837,0,0,0,0,0,0,0
16,1372.60127,0,0,0,0,0,0,0
17,-835.48193,0,0,0,0,0,0,0
18,-932.06661,0,0,0,0,0,0,0
19,-2272.73013,0,0,0,0,0,0,0
20,1822.59701,0,0,0,0,0,0,0
21,13440.58689,0,0,0,0,0,0,0
22,36728.4442,0,0,0,0,0,0,0
23,19308.4064,0,0,0,0,0,0,0
24,20044.2864,0,0,0,0,0,0,0
25,30103.923,0,0,0,0,0,0,0
26,32095.4603,0,0,0,0,0,0,0
27,35692.1364,0,0,0,0,0,0,0
28,21684.6886,0,0,1,0,0,0,0
29,67592.1043,0,0,1,0,0,0,0
30,67592.1043,0,0,1,0,0,0,0
31,402364.1926,0,0,1,0,0,1,0
32,374290.5838,0,0,1,0,0,1,0
33,232157.654,0,0,1,0,0,2,0
34,580269.095,0,0,1,0,0,2,0
35,446716.233,0,0,1,0,0,3,0
36,477161.198,0,0,1,0,0,3,0
37,614576.924,0,0,1,0,0,3,0
38,565938.945,0,0,1,0,0,3,0
39,577565.243,0,0,1,0,0,3,0
40,559753.231,0,0,1,0,0,3,0
41,500833.003,0,0,1,0,0,3,0
42,443228.726,0,0,1,0,0,3,0
43,361491.368,0,0,1,0,0,3,0
44,313174.813,1,0,1,0,0,3,0
45,431992.697,1,0,1,0,0,3,0
46,523354.173,2,0,1,0,0,3,0
47,140894.967,2,1,1,0,0,3,0
48,84770.215,2,1,1,0,0,3,0
49,-119818.086,2,1,1,0,0,3,0
50,-335183.902,2,1,1,0,0,3,0
51,-281022.939,2,1,1,0,0,3,0
52,-335473.797,2,1,1,0,0,3,0
53,-440283.44,2,2,1,0,0,3,2
54,-84680,2,2,1,1,0,3,2
55,75675,2,2,1,1,0,3,2
56,-35889,2,2,1,1,1,3,2
57,170353,2,2,1,1,1,3,2
58,63679,2,2,1,1,1,3,2
59,-13320,2,2,1,1,1,3,2
60,-161878,2,2,1,1,2,3,2
61,-9830,2,2,1,1,2,3,2
62,138355,2,2,1,1,2,3,2
63,-26428,2,2,1,1,2,5,2
64,-20002,2,2,1,1,2,5,2
65,153728,2,2,1,1,3,5,3
66,-212479,2,2,1,1,3,5,3
67,-336182,2,3,1,1,3,5,3
68,-191624,2,3,1,1,3,5,3
