Year,HpV_bt,Agenda21,NotrawlZone,EcoRef,FisPerReg,MarFisPol,VesScrap,FueSub,DouCon
1,0.15539584,0,0,0,0,0,0,0,0
2,-4.61466829,0,0,0,0,0,0,0,0
3,-1.3037698,0,0,0,0,0,0,0,0
4,0.59050364,0,0,0,0,0,0,0,0
5,3.88146472,0,1,0,0,0,0,0,0
6,7.82453332,0,1,0,0,0,0,0,0
7,4.55367298,0,1,0,0,0,0,0,0
8,1.71522525,0,1,0,0,0,0,0,0
9,4.68785644,0,1,0,0,0,0,0,0
10,4.68990923,0,1,0,0,0,0,0,0
11,3.86702831,0,1,0,0,0,0,0,0
12,6.19380251,0,1,0,0,0,0,0,0
13,6.8661068,0,1,0,0,0,0,0,0
14,3.0567369,0,1,0,0,0,0,0,0
15,4.1365076,0,1,0,0,0,0,0,0
16,0.84591,0,1,0,0,0,0,0,0
17,1.5762,0,1,0,0,0,0,0,0
18,-1.2779855,0,1,0,0,0,0,0,0
19,5.8708744,0,1,0,0,0,0,0,0
20,0.5293194,0,1,0,0,0,0,0,0
21,5.246523,0,1,0,0,0,0,0,0
22,57.7868549,0,1,0,0,0,0,0,0
23,1.1122878,0,1,0,0,0,0,0,0
24,8.0463445,0,1,0,0,0,0,0,0
25,8.4446747,0,1,0,0,0,0,0,0
26,4.3710742,0,1,0,0,0,0,0,0
27,1.4106787,0,1,0,0,0,0,0,0
28,-3.185392,0,1,1,0,0,0,0,0
29,-138.7389923,0,1,1,0,0,0,0,0
30,-20.25537163,0,3,1,0,0,0,0,0
31,16.70615332,0,3,1,0,1,0,0,0
32,7.7806934,0,3,1,0,1,0,0,0
33,1.09897332,0,3,1,0,2,0,0,0
34,3.65870225,0,3,1,0,2,0,0,0
35,3.17495709,0,3,1,0,3,0,0,0
36,6.86823589,0,3,1,0,3,0,0,0
37,4.48391229,0,3,1,0,3,0,0,0
38,12.81970049,0,3,1,0,3,0,0,0
39,6.61539806,0,3,1,0,3,0,0,0
40,5.7610113,0,3,1,0,3,0,0,0
41,2.6638131,0,3,1,0,3,0,0,0
42,3.8886931,0,3,2,0,3,0,0,0
43,1.1423312,0,3,2,0,3,0,0,0
44,-3.400732,0,3,2,0,3,0,0,0
45,-10.4369215,0,3,2,0,3,0,0,0
46,9.5055243,2,3,2,0,3,0,0,0
47,-4.1076409,2,3,2,0,3,0,0,1
48,3.4764445,2,3,2,0,3,0,0,1
49,4.1471298,2,3,2,0,3,0,0,1
50,6.8587774,2,3,2,0,3,0,0,1
51,2.1620201,2,3,2,0,3,0,0,1
52,-2.5286401,2,3,2,0,3,1,0,1
53,25.2809144,2,3,2,0,3,2,0,2
54,6.2434641,2,3,2,0,3,2,0,2
55,1.7928563,2,3,2,0,3,2,0,2
56,7.7294443,2,3,2,0,3,2,1,2
57,10.3505511,2,3,2,0,3,2,1,2
58,15.4562519,2,3,2,0,3,2,1,2
59,6.6248604,2,3,2,0,3,2,1,2
60,3.90588,2,3,2,0,3,2,2,2
61,5.5678573,2,3,2,0,3,2,2,2
62,-25.1418918,2,3,2,0,3,2,2,2
63,28.249503,2,3,2,2,5,2,2,2
64,3.2397865,2,3,2,2,5,2,2,2
65,6.5488289,2,3,2,2,5,2,3,2
66,3.6259664,2,3,2,2,5,2,3,2
67,6.8715312,2,3,2,2,5,2,3,2
68,-17.5886467,2,3,2,2,5,2,3,2
