Year,N_tr,EcoRef,DouCon,MarFisPol,Agenda21,VesScrap,FueSub,RNT
1,28,0,0,0,0,0,0,0.153005464
2,53,0,0,0,0,0,0,0.251184834
3,1,0,0,0,0,0,0,0.003787879
4,25,0,0,0,0,0,0,0.094339623
5,49,0,0,0,0,0,0,0.168965517
6,33,0,0,0,0,0,0,0.097345133
7,47,0,0,0,0,0,0,0.126344086
8,100,0,0,0,0,0,0,0.238663484
9,41,0,0,0,0,0,0,0.078998073
10,96,0,0,0,0,0,0,0.171428571
11,64,0,0,0,0,0,0,0.097560976
12,138,0,0,0,0,0,0,0.191666667
13,4,0,0,0,0,0,0,0.004662005
14,20,0,0,0,0,0,0,0.023201856
15,-52,0,0,0,0,0,0,-0.058956916
16,6,0,0,0,0,0,0,0.007228916
17,-19,0,0,0,0,0,0,-0.022727273
18,1,0,0,0,0,0,0,0.00122399
19,-60,0,0,0,0,0,0,-0.073349633
20,12,0,0,0,0,0,0,0.015831135
21,76,0,0,0,0,0,0,0.098701299
22,-67,0,0,0,0,0,0,-0.079196217
23,101,0,0,0,0,0,0,0.129653402
24,68,0,0,0,0,0,0,0.077272727
25,111,0,0,0,0,0,0,0.117088608
26,135,0,0,0,0,0,0,0.127478754
27,166,0,0,0,0,0,0,0.139028476
28,129,1,0,0,0,0,0,0.094852941
29,4356,1,0,0,0,0,0,2.925453324
30,4357,1,0,0,0,0,0,0.745423439
31,3905,1,0,0,0,0,0,0.382768085
32,3938,1,0,0,0,0,0,0.279152194
33,3110,1,0,0,0,0,0,0.172346911
34,6991,1,0,0,0,0,0,0.330465611
35,4758,1,0,0,0,0,0,0.169047111
36,3064,1,0,0,0,0,0,0.093119378
37,5243,1,0,0,0,0,0,0.145768461
38,379,1,0,0,0,0,0,0.009196574
39,2856,1,0,0,0,0,0,0.068670353
40,2720,1,0,0,0,0,0,0.061197858
41,3282,1,0,0,0,0,0,0.069584022
42,2090,2,0,0,0,0,0,0.041428798
43,2526,2,0,0,0,0,0,0.048079485
44,4316,2,0,0,0,0,0,0.07838152
45,9968,2,0,0,0,0,0,0.167867969
46,-1181,2,0,0,2,0,0,-0.017030051
47,3795,2,1,0,2,0,0,0.055672099
48,-1446,2,1,0,2,0,0,-0.020093938
49,-3478,2,1,0,2,0,0,-0.04932214
50,-6340,2,1,0,2,0,0,-0.094573227
51,-3232,2,1,0,2,0,0,-0.053247224
52,-1521,2,1,0,2,1,0,-0.026467824
53,-12339,2,2,0,2,2,0,-0.220555903
54,-2280,2,2,0,2,2,0,-0.052286383
55,10,2,2,0,2,2,0,0.000241978
56,-2140,2,2,0,2,2,0,-0.051770853
57,-1334,2,2,0,2,2,0,-0.034034085
58,-2718,2,2,0,2,2,0,-0.071787016
59,-1240,2,2,0,2,2,0,-0.035283405
60,-1454,2,2,0,2,2,2,-0.042885795
61,-916,2,2,0,2,2,2,-0.028228043
62,5093,2,2,0,2,2,2,0.161508213
63,-5027,2,2,5,2,2,2,-0.137248478
64,-571,2,2,5,2,2,2,-0.01806962
65,-224,2,2,5,2,3,2,-0.007219053
66,-1444,2,2,5,2,3,2,-0.046875507
67,-2325,2,2,5,2,3,2,-0.079186676
68,1328,2,2,5,2,3,2,0.049119692
