Year,RH_bt,NotrawlZone,DouCon,EcoRef,MarFisPol,SumMor,VesScrap,Agenda21
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,-0.7,0,0,0,0,0,0,0
4,-33.4,0,0,0,0,0,0,0
5,-6.2,1,0,0,0,0,0,0
6,-12.7,1,0,0,0,0,0,0
7,-3.9,2,0,0,0,0,0,0
8,3.6,2,0,0,0,0,0,0
9,-12,2,0,0,0,0,0,0
10,-5,2,0,0,0,0,0,0
11,-2.4,2,0,0,0,0,0,0
12,0,2,0,0,0,0,0,0
13,-1.8,2,0,0,0,0,0,0
14,-1.7,2,0,0,0,0,0,0
15,-2.8,2,0,0,0,0,0,0
16,-1.8,2,0,0,0,0,0,0
17,-1.7,2,0,0,0,0,0,0
18,-0.9,2,0,0,0,0,0,0
19,-2.4,2,0,0,0,0,0,0
20,-0.9,2,0,0,0,0,0,0
21,1.5,2,0,0,0,0,0,0
22,0.9,2,0,0,0,0,0,0
23,-0.5,2,0,0,0,0,0,0
24,-0.5,2,0,0,0,0,0,0
25,0.2,2,0,0,0,0,0,0
26,0.2,2,0,0,0,0,0,0
27,0.6,2,0,0,0,0,0,0
28,0.1,2,0,1,0,0,0,0
29,2.3,2,0,1,0,0,0,0
30,0.6,0,0,1,0,0,0,0
31,15.1,0,0,1,1,0,0,0
32,10.6,0,0,1,1,0,0,0
33,5.5,0,0,1,2,0,0,0
34,16.5,0,0,1,2,0,0,0
35,5.4,0,0,1,3,0,0,0
36,2.1,0,0,1,3,0,0,0
37,3.3,0,0,1,3,0,0,0
38,0,0,0,1,3,0,0,0
39,0.4,0,0,1,3,0,0,0
40,2.9,0,0,1,3,0,0,0
41,2.3,0,0,1,3,0,0,0
42,-0.2,0,0,1,3,0,0,0
43,1.9,0,0,1,3,0,0,0
44,1.9,0,0,1,3,0,0,1
45,-8.2,0,0,1,3,1,0,1
46,-2,0,0,1,3,1,0,2
47,-1.8,0,1,1,3,1,0,2
48,-2.8,0,1,1,3,1,0,2
49,-3.3,0,1,1,3,1,0,2
50,-5,0,1,1,3,1,0,2
51,-2.9,0,1,1,3,1,0,2
52,-4.2,0,1,1,3,1,1,2
53,-3.3,0,2,1,3,1,2,2
54,-0.5,0,2,1,3,1,2,2
55,0.5,0,2,1,3,1,2,2
56,-0.5,0,2,1,3,1,2,2
57,0.6,0,2,1,3,1,2,2
58,-0.9,0,2,1,3,1,2,2
59,-0.6,0,2,1,3,1,2,2
60,-1.1,0,2,1,3,1,2,2
61,-0.9,0,2,1,3,1,2,2
62,1,0,2,1,3,1,2,2
63,-1.5,0,2,1,3,1,2,2
64,-1.8,0,2,1,3,1,2,2
65,0,0,2,1,3,1,3,2
66,-1.1,0,2,1,3,1,3,2
67,-0.7,0,3,1,3,1,3,2
68,9.9,0,3,1,3,1,3,2
